date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2018/10/2,38391491,262,263,257,257.5,-5.5,260.9,257.1833333,50.1929301,3.117184337,3.842336763,-0.725152426,0.168594818,-1
2018/10/3,25228536,257.5,260,257,260,2.5,261.45,257.8166667,53.47757271,2.826754519,3.639220314,-0.812465795,0.685185529,-1
2018/10/4,38009727,257,257.5,254,254,-6,261.05,258.2166667,45.68981467,2.088363584,3.329048968,-1.240685384,0.651974633,-1
2018/10/5,40396660,250,253,248.5,250,-4,260.05,258.4,41.36500258,1.166964833,2.896632141,-1.729667308,0.187016374,-1
2018/10/8,51083958,245.5,246.5,241,243.5,-6.5,258.25,258.4,35.48670496,-0.086746038,2.299956505,-2.386702543,4.36E-05,-1
2018/10/9,28933345,243.5,245,242,244,0.5,256.3,258.3666667,36.23733562,-1.028123546,1.634340495,-2.662464041,0.052932666,-1
2018/10/11,96033657,233.5,233.5,227,227.5,-16.5,252.7,257.6333333,25.63659784,-3.070192836,0.693433829,-3.763626664,0.713529107,0
2018/10/16,39129077,229.5,237,229,237,6.5,244.1,255.1666667,39.86955721,-5.275681436,-1.993822212,-3.281859223,0.6352043,-1
2018/10/17,42887858,241.5,243,238,238.5,1.5,242.2,254.55,41.30853323,-5.324466328,-2.659951036,-2.664515292,0.517261514,-1
2018/10/18,27793430,238,239,235.5,236.5,-2,239.85,253.85,39.93623136,-5.46155459,-3.220271746,-2.241282844,0.479548634,-1
2018/10/19,29648460,231,236.5,230,236,-0.5,238.05,252.9166667,39.58220585,-5.546606025,-3.685538602,-1.861067423,0.193037747,-1
2018/10/24,45480950,230,231,227,229.5,-0.5,233.95,249.8166667,35.33902607,-6.220878141,-4.776406503,-1.444471639,0.358125729,-1
2018/10/25,75524118,220.5,222,219.5,219.5,-10,233.15,248.4666667,29.3730641,-7.194004754,-5.259926153,-1.934078601,0.133971827,-1
2018/10/26,54073644,223,224,217,221,1.5,231.55,247.15,31.24800319,-7.754784809,-5.758897884,-1.995886925,0.117025141,-1
2018/10/31,59933201,228,234,228,234,11,228.9,244,46.37133177,-7.106818658,-6.677974098,-0.42884456,0.964336987,-1
2018/11/8,28086146,237.5,237.5,236,236.5,2.5,231.25,239.0333333,49.40809216,-3.202607137,-4.843444504,1.640837366,0.302187444,-1
2018/11/9,23792081,234.5,234.5,231,231,-5.5,232.25,237.9,43.49335134,-3.167083315,-4.508172266,1.341088951,0.287432597,-1
2018/11/14,24565279,230,231,228.5,228.5,1,233.05,234.7166667,41.56924032,-3.308051996,-3.884472683,0.576420687,0.282659847,-1
2018/11/15,22230228,229.5,232,228.5,231,2.5,232.6,233.75,45.0946535,-3.103776262,-3.728333399,0.624557137,0.963924292,1
2018/11/16,47138909,229,229,225,226,-5,231.55,232.8166667,39.9084661,-3.3072209,-3.644110899,0.336889999,0.014723805,-1
2018/11/19,51034754,225,225,221,222,-4,230.25,231.8833333,36.31070363,-3.74801404,-3.664891527,-0.083122513,0.176678183,-1
2018/11/20,45686756,219,220.5,218,218,-4,228.6,231.0333333,33.09743879,-4.369740698,-3.805861361,-0.563879337,0.660921988,-0.333333333
2018/11/21,38478343,214.5,220,214,219,1,227.1,230.2,34.65431283,-4.727278785,-3.990144846,-0.737133939,0.247406556,1
2018/11/22,22060610,221.5,222,219,219,0,225.35,229.9166667,34.65431283,-4.953529094,-4.182821696,-0.770707399,0.121703077,-1
2018/11/26,35267804,219,224,218.5,223,4.5,223.25,229.05,41.71459976,-4.822872527,-4.459856598,-0.363015928,0.396992877,-1
2018/11/27,32676349,220,224.5,219,224,1,222.9,228.6166667,43.26646868,-4.459870312,-4.459859341,-1.10E-05,0.003755463,-1
2018/11/30,57352957,229.5,231,225.5,225.5,-3.5,222.45,227.6166667,45.96214406,-2.984698138,-3.904760031,0.920061893,0.046643473,-1
2018/12/3,49612186,231,235,231,235,9.5,223.75,227.55,57.41326703,-1.975466578,-3.518901341,1.543434763,0.194513463,-1
2018/12/5,45634576,226.5,227.5,225,226,-8,226.05,227.5666667,46.64022519,-1.29140091,-2.709099877,1.417698967,0.46653689,-1
2018/12/6,40181112,220,222,219.5,220,-6,226.15,227.5833333,41.06398881,-1.794007094,-2.52608132,0.732074226,0.325354732,-1
2018/12/7,31997568,222.5,223.5,220.5,221,1,226.4,227.5833333,42.30213999,-2.087570263,-2.438379109,0.350808846,0.371712544,-1
2018/12/10,26229461,219.5,220,218.5,219,-2,226,227.4666667,40.47087896,-2.453324082,-2.441368103,-0.011955979,0.393402504,-1
2018/12/12,32926379,223.5,227,222.5,226.5,4,225.85,227.2,49.63684458,-2.06977081,-2.365665421,0.29589461,0.082847484,-1
2018/12/13,32433141,227,227.5,225,226,-0.5,225.55,226.8833333,49.07562697,-1.801705504,-2.252873437,0.451167933,0.101019132,-1
2018/12/18,30270541,221,223,220.5,222.5,-1,222.95,225.6333333,45.36114625,-1.797849668,-2.035903602,0.238053934,0.892624092,-1
2018/12/19,23415082,222,225.5,222,225.5,3,222.9,225.35,49.41136712,-1.546069097,-1.937936701,0.391867604,0.076610056,-1
2018/12/20,38697116,221,222.5,221,221,-4.5,223,224.8333333,44.12738585,-1.690160455,-1.888381452,0.198220997,0.115358049,-1
2019/1/7,35695176,212,214,211,213,5,218,222.55,41.21187739,-3.144373388,-2.298729315,-0.845644073,0.530690741,-1
2019/1/9,51255446,212,216.5,211,215.5,4.5,216.5,221.8666667,44.98855677,-3.309969602,-2.686878949,-0.623090653,0.020230909,-1
2019/1/10,20832593,216,216.5,214.5,216,0.5,216.35,221.5166667,45.57721622,-3.114336742,-2.772370507,-0.341966235,0.985401986,-1
2019/1/15,42990923,216.5,221,215.5,221,2.5,215.85,220.5333333,51.32939275,-1.808341317,-2.47248691,0.664145593,0.208714485,-1
2019/1/16,30038282,218.5,220,217.5,217.5,-3.5,215.65,219.9833333,47.41437175,-1.706998017,-2.319389131,0.612391114,0.131021085,-1
2019/1/17,21163986,218,221,218,220.5,3,216.15,219.8,50.87316534,-1.368828788,-2.129277063,0.760448275,0.358158531,-1
2019/1/18,52677569,219,220,217.5,218.5,-2,217.2,219.75,48.57912681,-1.247826357,-1.952986921,0.705160565,0.076453115,-1
2019/1/22,30958483,220,223,219,223,2,219.2,219.8833333,53.79975686,-0.527458778,-1.505703136,0.978244357,0.176282786,-1
2019/1/25,48039764,226.5,227,225,226,3.5,220.9,219.6833333,56.96214203,0.355878192,-0.771950072,1.127828264,0.360948449,-1
2019/1/28,29134257,229.5,229.5,228,229,3,221.95,219.9,60.06425788,0.973977648,-0.422764528,1.396742176,0.039708421,-1
2019/1/29,42566520,222.5,225,222,222.5,-6.5,222.1,219.8666667,51.41678741,0.928625626,-0.152486497,1.081112123,0.455073284,-1
2019/1/30,51889945,220.5,221.5,220,221,-1.5,222.45,219.8166667,49.64066399,0.762852666,0.030581335,0.732271331,0.39208908,-1
2019/2/12,30125670,230,230,229,230,2,224.35,220.2,58.95803486,1.65767911,0.54033742,1.11734169,0.027619897,-1
2019/2/15,22369799,229,229,226.5,227,0,226.2,220.8,54.89933677,1.967130752,1.231488361,0.735642391,0.271778072,-1
2019/2/18,18163916,229,230.5,228.5,230,3,226.95,221.2166667,58.30906804,2.186577323,1.422506153,0.76407117,0.225047113,-1
2019/2/19,18423023,230,230.5,229,229,-1,227.25,221.6333333,56.7684061,2.253818057,1.588768534,0.665049523,0.488096441,-1
2019/2/20,31887710,231.5,234.5,231,234.5,5.5,227.8,222.0166667,62.61864574,2.719561447,1.814927116,0.90463433,0.297165661,-1
2019/2/21,34013489,235.5,236.5,234.5,236.5,2,229.2,222.3833333,64.49992665,3.21301212,2.094544117,1.118468003,0.009928078,-1
2019/2/26,24586789,239,240,236.5,239.5,1.5,232.7,224.75,67.45853051,4.268068746,3.00868746,1.259381286,0.842555252,-1
2019/3/8,22535659,231,231.5,229,230,-4,235.6,228.45,49.50549912,2.798707761,3.386357985,-0.587650224,0.04093487,1
2019/3/11,34282793,228,230.5,227.5,230.5,0.5,235,228.7666667,50.33949585,2.370981846,3.183282757,-0.812300911,0.08230237,-1
2019/3/18,27040532,239.5,241,239,241,2,234.85,231.65,63.29834273,2.929981573,2.811446187,0.118535386,0.476720678,-1
2019/3/19,14620009,239,240.5,238,240.5,-0.5,235.6,232.3166667,62.31581972,3.097706241,2.868698198,0.229008044,0.251581481,-1
2019/3/22,22996467,248,248.5,244.5,248.5,3,239.4,234.2666667,70.8435634,4.242445249,3.337220351,0.905224898,0.615563479,-1
2019/3/27,23622089,242,242.5,240.5,241.5,-2.5,241.8,236.1166667,56.54083042,3.789791168,3.630087729,0.159703439,0.005152443,-1
2019/4/8,46426821,251,253,250.5,253,6.5,245.4,239.6666667,69.60279492,4.208510657,3.779859731,0.428650927,0.259924322,-1
2019/4/9,22745674,253,254,252,254,1,245.95,240.3166667,70.52521264,4.619512908,3.947790366,0.671722542,0.273388482,-1
2019/4/10,33174934,253,254.5,252,254,0,247.2,240.9,70.52521264,4.888879196,4.136008132,0.752871064,0.100664329,0
2019/4/11,25146840,253,254,251.5,252,-2,248,241.4166667,65.88757443,4.884663277,4.285739161,0.598924116,0.311371083,-1
2019/4/16,20231648,257,257,255.5,257,1.5,251.55,243.0166667,71.45549082,5.205803395,4.653740437,0.552062958,0.406116126,-1
2019/4/17,39037191,260,263,259.5,261.5,4.5,253.15,243.8833333,75.5303407,5.663793476,4.855751045,0.808042431,0.075070226,-1
2019/4/18,48525490,264,266,263.5,264.5,3,255,244.9333333,77.80510096,6.197389198,5.124078676,1.073310522,0.64070239,-0.5
2019/4/19,47698699,269,269.5,263.5,264.5,0,256.8,245.95,77.80510096,6.544823006,5.408227542,1.136595464,0.107246059,-1
2019/4/22,24967393,266.5,267.5,265,266,1.5,258.1,247.0166667,78.94036757,6.862102223,5.699002478,1.163099745,0.322667398,-1
2019/4/24,37386755,270,270,267.5,269,1,261,249.5666667,81.0783926,7.448325616,6.287750928,1.160574688,0.350761709,-1
2019/4/30,40446419,260,260.5,258,259,-0.5,263.95,252.9,57.3982539,5.481954227,6.275931479,-0.793977252,0.00914875,-1
2019/5/9,34166574,259.5,259.5,256,256.5,-3.5,260.8,256.3333333,49.53673338,3.151951944,4.592896203,-1.440944259,0.148153251,-1
2019/5/13,29317535,253,254,249.5,250.5,-5.5,258.7,257.0333333,41.74343361,1.660472277,3.684052863,-2.023580585,0.392300367,-1
2019/5/14,45620708,247.5,251,245,248.5,-2,257.6,257.25,39.49934427,0.763022985,3.099846887,-2.336823902,0.001838291,-1
2019/5/15,37223479,251,252,249,249,0.5,256.6,257.3666667,40.36251359,0.091083819,2.498094274,-2.407010454,0.005514766,-1
2019/5/16,30331519,248.5,249.5,246,247,-2,255.4,257.4166667,38.02552898,-0.595946397,1.879286139,-2.475232537,0.657551498,-1
2019/5/17,40006856,249,249,241.5,241.5,-5.5,253.05,257.2666667,32.45959421,-1.566172961,1.190194319,-2.75636728,0.779826233,0
2019/5/20,47097661,242.5,243,238,238,-3.5,250.95,256.9833333,29.50035465,-2.587676132,0.434620229,-3.022296361,0.3183057,-1
2019/5/21,82872775,233.5,236,232.5,234,-4,248.1,256.35,26.52419713,-3.677598263,-0.387823469,-3.289774793,0.290216837,-1
2019/5/23,62258627,233.5,233.5,230,230,-8,243.25,255.0166667,27.84695852,-5.147375033,-1.944966441,-3.202408592,0.03203955,-1
2019/5/24,38226789,230,234,230,233,3,240.95,254.3833333,32.59150807,-5.614735568,-2.678920266,-2.935815302,0.201150619,-1
2019/5/27,37447033,234,235,231,231,-2,239,253.6833333,31.12222845,-6.076459798,-3.358428173,-2.718031625,0.569288198,-0.6
2019/5/28,99322033,232,232,230.5,230.5,-0.5,237.2,252.85,30.74901618,-6.408848186,-3.968512175,-2.44033601,0.423949531,-1
2019/5/29,32260236,228,230.5,227,229.5,-1,235.25,251.9333333,29.9748105,-6.676003211,-4.510010382,-2.165992829,0.237013377,-1
2019/5/30,40375328,230,231.5,229,231,1.5,233.65,250.9166667,32.71159926,-6.689574775,-4.945923261,-1.743651514,0.324707516,-0.5
2019/5/31,49163217,232,237.5,231,235.5,4.5,233.05,249.95,40.25542118,-6.264998938,-5.209738396,-1.055260542,0.364949808,-1
2019/6/3,36687092,235.5,238.5,232,238,2.5,233.05,249.0666667,44.01091271,-5.661527852,-5.300096288,-0.361431565,0.30389063,-0.6
2019/6/4,24443428,237.5,238,233,233,-5,232.95,247.9666667,38.76285376,-5.523064434,-5.344689917,-0.178374517,0.483811724,-1
