標題,日期,sentiments
[新聞] iPhone砍單、晶圓報廢衝擊　台積電上半年,2019/3/11,0.08230237006657315
[新聞] 台積電光阻液出包 傳牽動14B廠、品管部,2019/3/18,0.6769990421592993
[新聞] 蘋概三王各擁題材 台積電股價飆近5個月高點,2019/3/18,0.2764423128228918
[新聞] 光阻劑事件…台積高層異動,2019/3/19,0.2515814810174962
[新聞] Apple Car有影？傳台積電鎖定意法、蘋果,2019/3/22,0.6155634787224902
[新聞] 半導體專利戰再起！ITC啟動337調查台積電,2019/3/27,0.005152443185126199
[新聞] 第一季重磅布局 12大法人認養股 台積電居,2019/3/30,0.8906508073813532
[新聞] 狠甩三星 　台積電推出5奈米開放創新平台,2019/4/04,0.015599525117793278
[新聞] 晶圓代工3月業績將止跌回升　台積下周法,2019/4/07,0.3158922948460391
[新聞] 台積、日月光 接單旺,2019/4/08,0.25992432240451835
[新聞] 貿易戰反帶動庫存　外資：台積電Q2 7奈,2019/4/09,0.2733884823740007
[新聞] 台積電7奈米+、5奈米進程領先　大聯盟營,2019/4/10,0.14053685786557135
[新聞] 台積電首季營收年衰退 11.8%，符合調降財,2019/4/10,0.060791798666080976
[新聞] 台積Q1優預期 外資估Q2營收季增可望逾5%,2019/4/11,0.31137108330692564
[新聞] 台積電宣佈推出6奈米製程,2019/4/16,0.4061161259281222
[新聞] 罕見回擊三星　台積電推6奈米製程明年首,2019/4/17,0.07507022582301925
[新聞] 高通、蘋果復合 5G晶片大單台積電廝殺三,2019/4/18,0.38608121531024464
[新聞] 台積7奈米 至少領先對手一年,2019/4/18,0.40703291547529596
[新聞] 台積電：第1季是谷底　毛利率一季會比一,2019/4/18,0.9786406784703457
[新聞] 台積電明年起季季配息，全年股利不低於今年，至少10元起跳,2019/4/18,0.7910547520438923
[新聞] 法說會報喜 花旗喊台積電目標價305元 美,2019/4/19,0.10724605897355322
[新聞] 台積目標價 六外資喊上3字頭,2019/4/20,0.023761545144489138
[新聞] 郭台銘選總統 外資：鴻海將效法台積、台,2019/4/22,0.32266739812838274
[新聞] 報廢10萬片晶圓虧169億！台積電撤高層後,2019/4/24,0.3507617093807016
[新聞] 台積電急找綠電卻因台電卡位買不到　經,2019/4/30,0.009148750417383611
[新聞] 台積電貴爆還能買?他狠開1槍 驚揭3大盲點,2019/5/04,0.0015651855690105299
[新聞] 高盛5G報告 喊買台積電，目標價310元,2019/5/09,0.14815325084974418
[新聞] 新 iPhone 即將上市 台積電傳最早 5 月量,2019/5/11,0.18372963285833488
[新聞] 台積電營收月減6.3%、年減8.8%,2019/5/11,0.41821766466036303
[新聞] 台積電 4 月營收創 2019 年次低紀錄，後,2019/5/13,0.031792851511341036
[新聞] 傳台積電開始量產蘋果A13晶片 惟中美貿易,2019/5/13,0.7528078820954225
[新聞] 〈MSCI調整〉台股三大權重全數調降 台積,2019/5/14,0.0018382907345537713
[新聞] MSCI個股權重調整 台積電升幅最多,2019/5/15,0.005514766271445648
[新聞] 阿里巴巴平頭哥AI晶片下單創意、台積電,2019/5/16,0.6575514975810566
[新聞] 美祭華為禁令 台積電：謹慎分析評估相關,2019/5/17,0.8803568964723142
[新聞] 美國祭禁令 台積電：初估後繼續出貨華為,2019/5/17,0.6792955692259192
[新聞] 中美貿易戰》川普打壓沒在怕，台積電：繼,2019/5/19,0.9649994186363573
